FileName,Name,Cell_Line,Condition,Condition_2
C1145T-1_S126_L003.quant.sf,C1145T-1_S126_L003,145T,control,control
C1145T-2_S129_L003.quant.sf,C1145T-2_S129_L003,145T,control,control
C12337_2_S248_L004.quant.sf,C12337_2_S248_L004,2377,control,control
C12377_1_S0_L001.quant.sf,C12377_1_S0_L001,2377,control,control
T1145T-1_S124_L003.quant.sf,T1145T-1_S124_L003,145T,shTRIP13,shTRIP13-1
T1145T-2_S127_L003.quant.sf,T1145T-2_S127_L003,145T,shTRIP13,shTRIP13-1
T12377_1_S0_L001.quant.sf,T12377_1_S0_L001,2377,shTRIP13,shTRIP13-1
T12377_2_S246_L004.quant.sf,T12377_2_S246_L004,2377,shTRIP13,shTRIP13-1
T2145T-1_S0_L001.quant.sf,T2145T-1_S0_L001,145T,shTRIP13,shTRIP13-2
T2145T-2_S128_L003.quant.sf,T2145T-2_S128_L003,145T,shTRIP13,shTRIP13-2
T22377_1_S0_L001.quant.sf,T22377_1_S0_L001,2377,shTRIP13,shTRIP13-2
T22377_2_S247_L004.quant.sf,T22377_2_S247_L004,2377,shTRIP13,shTRIP13-2
